Formato da Tabela de Simbolos:
Nome;	Escopo;	Tipo;	Tipo de Identificador;	Linha
isPrime;	global;	int;	Function;		1
n;	isPrime;	int;	Variable;		1
i;	isPrime;	int;	Variable;		2
j;	isPrime;	int;	Variable;		3
remainder;	isPrime;	int;	Variable;		4
int;	isPrime;	int;	Function;		7
i;	isPrime;	int;	Function;		10
j;	isPrime;	int;	Function;		12
j;	isPrime;	int;	Function;		14
int;	isPrime;	int;	Function;		17
i;	isPrime;	int;	Function;		19
int;	isPrime;	int;	Function;		22
main;	global;	void;	Function;		25
number;	main;	int;	Variable;		26
result;	main;	int;	Variable;		27
number;	main;	int;	Function;		29
result;	main;	int;	Function;		30
isPrime;	main;	int;	Function;		30
