=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: []
============================================================

CICLO   1: PC= 0 | LI GP, 156           | INICIANDO
CICLO   2: PC= 0 | LI GP, 156           | R28 = 156
CICLO   3: PC= 1 | LI SP, 255           | INICIANDO
CICLO   4: PC= 1 | LI SP, 255           | R29 = 255
CICLO   5: PC= 2 | J 3                  | INICIANDO
CICLO   6: PC= 3 | J 3                  | Jump to 3
CICLO   7: PC= 3 | SUBI R2, SP, 2       | INICIANDO
CICLO   8: PC= 3 | SUBI R2, SP, 2       | R2 = R29(255) - 2 = 253 (era 0)
CICLO   9: PC= 4 | SW FP, 0(R2)         | INICIANDO
CICLO  10: PC= 4 | SW FP, 0(R2)         | MEM[253] = R30 = 0
    ESTADO: R2=253, GP=156, SP=255

CICLO  11: PC= 5 | SUBI SP, SP, 2       | INICIANDO
CICLO  12: PC= 5 | SUBI SP, SP, 2       | R29 = R29(253) - 2 = 253 (era 255)
CICLO  13: PC= 6 | MOVE FP, SP          | INICIANDO
CICLO  14: PC= 6 | MOVE FP, SP          | R30 = R29 = 253 (era 0)
CICLO  15: PC= 7 | LI R1, 0             | INICIANDO
CICLO  16: PC= 7 | LI R1, 0             | R1 = 0
CICLO  17: PC= 8 | MOVE R2, R1          | INICIANDO
CICLO  18: PC= 8 | MOVE R2, R1          | R2 = R1 = 0 (era 253)
CICLO  19: PC= 9 | SW R2, 0(FP)         | INICIANDO
CICLO  20: PC= 9 | SW R2, 0(FP)         | MEM[253] = R2 = 0
    ESTADO: GP=156, SP=253, FP=253

CICLO  21: PC=10 | LI R3, 5             | INICIANDO
CICLO  22: PC=10 | LI R3, 5             | R3 = 5
CICLO  23: PC=11 | LW R2, 0(FP)         | INICIANDO
CICLO  24: PC=11 | LW R2, 0(FP)         | R2 = MEM[253] = 0
CICLO  25: PC=12 | SLT R4, R2, R3       | INICIANDO
CICLO  26: PC=12 | SLT R4, R2, R3       | R4 = (R2 < R3) = (0 < 5) = 1
CICLO  27: PC=13 | BEQ R4, R0, 30       | INICIANDO
CICLO  28: PC=13 | BEQ R4, R0, 30       | R4(1) == R0(0) -> Continue
CICLO  29: PC=14 | LI R5, 1             | INICIANDO
CICLO  30: PC=14 | LI R5, 1             | R5 = 1
    ESTADO: R3=5, R4=1, R5=1, GP=156, SP=253, FP=253

CICLO  31: PC=15 | LW R2, 0(FP)         | INICIANDO
CICLO  32: PC=15 | LW R2, 0(FP)         | R2 = MEM[253] = 0
CICLO  33: PC=16 | ADD R6, R2, R5       | INICIANDO
CICLO  34: PC=16 | ADD R6, R2, R5       | R6 = R2 + R5 = 0 + 1 = 1
CICLO  35: PC=17 | LI R7, 10            | INICIANDO
CICLO  36: PC=17 | LI R7, 10            | R7 = 10
CICLO  37: PC=18 | MULT R8, R6, R7      | INICIANDO
CICLO  38: PC=18 | MULT R8, R6, R7      | R8 = R6 * R7 = 1 * 10 = 10
CICLO  39: PC=19 | LW R2, 0(FP)         | INICIANDO
CICLO  40: PC=19 | LW R2, 0(FP)         | R2 = MEM[253] = 0
    ESTADO: R3=5, R4=1, R5=1, R6=1, R7=10, R8=10, GP=156, SP=253, FP=253

CICLO  41: PC=20 | SLL R9, R2, 2        | INICIANDO
CICLO  42: PC=20 | SLL R9, R2, 2        | R9 = R2 << 2 = 0 << 2 = 0
CICLO  43: PC=21 | ADDI R10, GP, 0      | INICIANDO
