Formato da Tabela de Simbolos:
Nome;	Escopo;	Tipo;	Tipo de Identificador;	Linha
numbers;	global;	int;	Variable;		1
main;	global;	void;	Function;		3
i;	main;	int;	Variable;		5
sum;	main;	int;	Variable;		6
i;	main;	int;	Function;		8
numbers;	main;	int;	Function;		10
numbers;	main;	int;	Variable;		10
i;	main;	int;	Function;		11
i;	main;	int;	Function;		14
sum;	main;	int;	Function;		15
sum;	main;	int;	Function;		17
numbers;	main;	int;	Variable;		17
i;	main;	int;	Function;		18
i;	main;	int;	Function;		23
numbers;	main;	int;	Variable;		25
i;	main;	int;	Function;		26
