Formato da Tabela de Simbolos:
Nome;	Escopo;	Tipo;	Tipo de Identificador;	Linha
x;	global;	int;	Variable;		2
minloc;	global;	int;	Function;		3
a;	minloc;	int;	Variable;		3
low;	minloc;	int;	Variable;		3
high;	minloc;	int;	Variable;		3
i;	minloc;	int;	Variable;		5
k;	minloc;	int;	Variable;		5
k;	minloc;	int;	Variable;		0
low;	minloc;	int;	Variable;		0
x;	minloc;	int;	Variable;		0
a;	minloc;	int;	Variable;		0
low;	minloc;	int;	Variable;		0
i;	minloc;	int;	Variable;		0
low;	minloc;	int;	Variable;		0
i;	minloc;	int;	Variable;		0
high;	minloc;	int;	Variable;		0
a;	minloc;	int;	Variable;		0
i;	minloc;	int;	Variable;		0
x;	minloc;	int;	Variable;		0
x;	minloc;	int;	Variable;		0
a;	minloc;	int;	Variable;		0
i;	minloc;	int;	Variable;		0
k;	minloc;	int;	Variable;		0
i;	minloc;	int;	Variable;		0
i;	minloc;	int;	Variable;		0
i;	minloc;	int;	Variable;		0
k;	minloc;	int;	Variable;		0
sort;	global;	void;	Function;		19
a;	sort;	int;	Variable;		19
low;	sort;	int;	Variable;		19
high;	sort;	int;	Variable;		19
i;	sort;	int;	Variable;		21
k;	sort;	int;	Variable;		21
i;	sort;	int;	Variable;		0
low;	sort;	int;	Variable;		0
i;	sort;	int;	Variable;		0
high;	sort;	int;	Variable;		0
t;	sort;	int;	Variable;		24
k;	sort;	int;	Variable;		0
minloc;	sort;	int;	Function;		25
a;	sort;	int;	Variable;		0
i;	sort;	int;	Variable;		0
high;	sort;	int;	Variable;		0
t;	sort;	int;	Variable;		0
a;	sort;	int;	Variable;		0
k;	sort;	int;	Variable;		0
a;	sort;	int;	Variable;		0
k;	sort;	int;	Variable;		0
a;	sort;	int;	Variable;		0
i;	sort;	int;	Variable;		0
a;	sort;	int;	Variable;		0
i;	sort;	int;	Variable;		0
t;	sort;	int;	Variable;		0
i;	sort;	int;	Variable;		0
i;	sort;	int;	Variable;		0
main;	global;	void;	Function;		33
i;	main;	int;	Variable;		35
i;	main;	int;	Variable;		0
i;	main;	int;	Variable;		0
x;	main;	int;	Variable;		0
i;	main;	int;	Variable;		0
i;	main;	int;	Variable;		0
i;	main;	int;	Variable;		0
sort;	main;	int;	Function;		41
x;	main;	int;	Variable;		0
i;	main;	int;	Variable;		0
i;	main;	int;	Variable;		0
i;	main;	int;	Variable;		0
i;	main;	int;	Variable;		0
