=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: []
============================================================

CICLO   1: PC= 0 | LI GP, 164           | INICIANDO
CICLO   2: PC= 0 | LI GP, 164           | R28 = 164
CICLO   3: PC= 1 | LI SP, 255           | INICIANDO
CICLO   4: PC= 1 | LI SP, 255           | R29 = 255
CICLO   5: PC= 2 | J 61                 | INICIANDO
CICLO   6: PC=61 | J 61                 | Jump to 61
CICLO   7: PC=61 | SUBI R2, SP, 2       | INICIANDO
CICLO   8: PC=61 | SUBI R2, SP, 2       | R2 = R29(255) - 2 = 253 (era 0)
CICLO   9: PC=62 | SW FP, 0(R2)         | INICIANDO
CICLO  10: PC=62 | SW FP, 0(R2)         | MEM[253] = R30 = 0
    ESTADO: R2=253, GP=164, SP=255

CICLO  11: PC=63 | SUBI SP, SP, 2       | INICIANDO
CICLO  12: PC=63 | SUBI SP, SP, 2       | R29 = R29(253) - 2 = 253 (era 255)
CICLO  13: PC=64 | MOVE FP, SP          | INICIANDO
CICLO  14: PC=64 | MOVE FP, SP          | R30 = R29 = 253 (era 0)
CICLO  15: PC=65 | LI R14, 3            | INICIANDO
CICLO  16: PC=65 | LI R14, 3            | R14 = 3
CICLO  17: PC=66 | LI R15, 7            | INICIANDO
CICLO  18: PC=66 | LI R15, 7            | R15 = 7
CICLO  19: PC=67 | MOVE R4, R14         | INICIANDO
CICLO  20: PC=67 | MOVE R4, R14         | R4 = R14 = 3 (era 0)
    ESTADO: R2=253, R4=3, R14=3, R15=7, GP=164, SP=253, FP=253

CICLO  21: PC=68 | MOVE R5, R15         | INICIANDO
CICLO  22: PC=68 | MOVE R5, R15         | R5 = R15 = 7 (era 0)
CICLO  23: PC=69 | JAL 31               | INICIANDO
CICLO  24: PC=31 | JAL 31               | RA = 70, Jump to 31
CICLO  25: PC=31 | SUBI SP, SP, 8       | INICIANDO
CICLO  26: PC=31 | SUBI SP, SP, 8       | R29 = R29(245) - 8 = 245 (era 253)
CICLO  27: PC=32 | SW RA, 7(SP)         | INICIANDO
CICLO  28: PC=32 | SW RA, 7(SP)         | MEM[252] = R31 = 70
CICLO  29: PC=33 | SW FP, 6(SP)         | INICIANDO
CICLO  30: PC=33 | SW FP, 6(SP)         | MEM[251] = R30 = 253
    ESTADO: R2=253, R4=3, R5=7, R14=3, R15=7, GP=164, SP=245, FP=253, RA=70

CICLO  31: PC=34 | MOVE FP, SP          | INICIANDO
CICLO  32: PC=34 | MOVE FP, SP          | R30 = R29 = 245 (era 253)
CICLO  33: PC=35 | SW R4, 0(FP)         | INICIANDO
CICLO  34: PC=35 | SW R4, 0(FP)         | MEM[245] = R4 = 3
CICLO  35: PC=36 | SW R5, 1(FP)         | INICIANDO
CICLO  36: PC=36 | SW R5, 1(FP)         | MEM[246] = R5 = 7
